2026/08/16 6:50:24 PM GMT+8,Industry professional,China,Less than 1 year,C / C++,Yes,Male,Very important,,Very important,,Very important,,Very important,,,
2026/08/16 7:11:24 PM GMT+8,Academic researcher,America/alaska,More than 5 years,C / C++;Python;rust,Yes,Male,Neutral,NULL,Very important,clear,Very important,result,Neutral,Solution,难度,无
2026/08/17 4:12:59 PM GMT+8,Industry professional,Bulgaria,More than 5 years,C / C++;Java;Python;Go;C#;PHP,Yes,Male,Very important,,Very important,,Somewhat important,,Very important,"tests - e2e, integration, unit",,
2026/08/17 5:03:27 PM GMT+8,Undergraduate or graduate student,China,1-3 years,C / C++;Java;Python,Yes,Male,Very important,,Very important,,Somewhat important,,Somewhat important,,,
2026/08/17 10:33:01 PM GMT+8,Industry professional,Russia,3-5 years,C / C++;Python;Rust;bash,Yes,Male,Very important,,Somewhat important,A reason should make patch understanding easier then without it.,Neutral,Better choice is a short impact comment with unit test to cover issue.,Neutral,,,
2026/08/17 11:41:17 PM GMT+8,Industry professional,United States,More than 5 years,C / C++;Python;Go;Rust,Yes,Male,Very important,,Very important,,Very important,,Somewhat important,,,
2026/08/18 1:00:28 AM GMT+8,Industry professional,France,More than 5 years,Go,Yes,Male,Very important,clarity and lack of ambiguity,Somewhat important,,Very important,,Neutral,,,
2026/08/18 4:38:15 AM GMT+8,Industry professional,Germany ,3-5 years,C / C++;Python;Go;Rust,Yes,Male,Very important,Most concrete line of code that can cause the issue with a clear reference to it (e.g. line number). Clearly stating what is the malicious effect from this.,Somewhat important,Again being precise about the location and effect + linking to valid properties of the code that are being violated. Be as specific about the properties as possible ,Somewhat important,"Specifically talk about what kind of problem this can be causing. E.g. stating what properties the attacker could gain with that violation (DoS, arbitrary read/write, infoleak, etc)",Somewhat important,Have a correct code snippet attached! ,,
2026/08/18 10:01:53 AM GMT+8,Industry professional,Russian Federation,More than 5 years,"Java;Python;Go;Rust;Typescript, Kotlin",Yes,Male,Very important,"I would evaluate whether the comment clearly identifies the specific code, operation, or data flow that creates the security issue, together with the condition under which the issue occurs. A strong identification should point to the relevant expression or control path, identify the untrusted input or trust boundary involved, and be precise enough for the author to locate and understand the problem without guessing. It should also distinguish a confirmed issue from a possible concern and avoid vague or overstated claims.",Very important,"I would assess whether the comment explains the causal mechanism that makes the code unsafe, rather than merely labeling it as vulnerable. It should connect the relevant operation, data or control flow, or state transition to the failure condition; state important assumptions such as attacker-controlled input, concurrency, privileges, or object lifetime; and be technically accurate and proportionate to the available evidence. The explanation should help the author verify the issue and distinguish the root cause from its consequences and proposed fix.",Neutral,"I would evaluate whether the comment describes a plausible consequence for a concrete asset or security property, such as confidentiality, integrity, availability, authentication, or authorization. It should explain who or what can trigger the issue, the required conditions or privileges, the affected scope, and whether the consequence is local or systemic. A strong impact statement is specific and evidence-based, avoids generic security risk wording, and does not overstate exploitability or severity.",Very important,"I would assess whether the guidance is actionable, addresses the root cause rather than only suppressing the symptom, and fits the surrounding code and project conventions. It should make clear what invariant or safe behavior the fix must establish, mention important compatibility or failure-handling constraints, and suggest an appropriate verification or regression test when useful. Exact replacement code is helpful but not required; when multiple safe solutions exist, the comment should avoid presenting an unverified implementation as the only correct one.","Yes. I would add evidence, confidence, scope, and verifiability. A high-quality SCRC should distinguish a confirmed defect from a hypothesis, cite the relevant code path, specification, or test when useful, define the affected scope, and communicate uncertainty proportionately. It should also be respectful and concise, and give the author a practical way to demonstrate that the issue has been fixed.","The four attributes are useful, but they should not be treated as mandatory independent sections in every comment. An inline comment can be high quality when the line context already provides identification or a linked test or specification supplies evidence. Evaluation should account for context, avoid rewarding verbosity, and distinguish technical security correctness from comment length."
2026/08/18 10:48:32 AM GMT+8,Undergraduate or graduate student,China,More than 5 years,Python;Go;Rust,Yes,Male,Very important,"I believe the specific criteria for evaluating the quality of Identification include the following points: the problem should be clearly located, the problem description should be specific, the reproduction steps should be clearly provided, and the root cause of the issue should be clearly distinguished from its symptoms. For example, the comment should not merely describe surface-level phenomena (e.g., ""the program crashed""), but should point to the underlying cause (e.g., ""user input is not validated here, leading to an array out-of-bounds error""). In addition, the comment should, where possible, refer to the specific relevant code or provide sufficient context.",Somewhat important,"it should include the following: whether the comment explains the root cause of the issue, whether the explanation has clear causal logic, whether it specifies the trigger conditions under which the issue occurs, and whether it distinguishes between the direct cause and the underlying root cause.",Somewhat important,"It should describe the danger level of the issue, specify the security consequences, explain the difficulty of exploitation, and clarify the scope of impact, among other factors.",Neutral,"providing some general suggestions is sufficient. If capable reviewers can offer feedback that includes concrete and actionable guidance, clearly describes the applicable scenarios and limitations, and considers the trade-offs and costs of the fix, along with a correct and complete solution, then that would be ideal. Otherwise, I think the responsibility of finding the actual solution should lie more with the repository maintainers.",2 b frank idk,"Overall, I think the IRIS framework provides a relatively comprehensive summary of the core dimensions of security code review comments and can be effectively used to evaluate and guide their quality. However, I believe that the effectiveness of a review comment depends not only on its content but also on the team's internal communication atmosphere and trust relationships, which are aspects that the IRIS framework cannot quantify."
